handle,score
reuters.com,0.95
apnews.com,0.95
en.afp.com,0.95
nytimes.com,0.95
washingtonpost.com,0.95
wsj.com,0.95
financialtimes.com,0.95
bloomberg.com,0.95
afp.com,0.95
lemonde.fr,0.95
lefigaro.fr,0.95
franceinfo.fr,0.95
nature.com,0.95
science.org,0.95
pubmed.ncbi.nlm.nih.gov,0.95
who.int,0.95
cdc.gov,0.95
pasteur.fr,0.95
inserm.fr,0.95
factcheck.org,0.95
snopes.com,0.95
lesdecodeurs.fr,0.95
checknews.fr,0.95
theguardian.com,0.9
us.theguardian.com,0.9
australia.theguardian.com,0.9
economist.com,0.9
npr.org,0.9
theatlantic.com,0.9
data.ft.com,0.9
cnn.com,0.9
euronews.com,0.9
liberation.fr,0.9
humanite.fr,0.9
rfi.fr,0.9
publicsenat.fr,0.9
mediapart.fr,0.9
rtbf.be,0.9
rts.ch,0.9
gouvernement.fr,0.9
elysee.fr,0.9
europa.eu,0.9
latimes.com,0.8
bostonglobe.com,0.8
chicagotribune.com,0.8
usatoday.com,0.8
newsweek.com,0.8
axios.com,0.8
politico.com,0.8
politico.eu,0.8
forbes.com,0.8
aljazeera.com,0.8
wired.com,0.8
theverge.com,0.8
propublica.org,0.8
huffpost.com,0.8
thetimes.com,0.8
the-independent.com,0.8
irishtimes.com,0.8
japantimes.co.jp,0.8
theglobeandmail.com,0.8
lbc.co.uk,0.8
nouvelobs.com,0.8
lepoint.fr,0.8
theintercept.com,0.7
thenation.com,0.7
democracynow.org,0.7
kyivindependent.com,0.7
kyivpost.com,0.7
themoscowtimes.com,0.7
inquirer.com,0.7
thestar.com,0.7
newstatesman1913.bsky.social,0.7
talkingpointsmemo.com,0.7
us.theconversation.com,0.7
uk.theconversation.com,0.7
la-croix.com,0.7
news.rte.ie,0.6
english.nv.ua,0.6
pravda.ua,0.6
ajiunit.com,0.6
channel4news.bsky.social,0.6
itvnews.bsky.social,0.6
bbcnewsnight.bsky.social,0.6
bylinesnetwork.co.uk,0.6
politicshome.bsky.social,0.6
bylinetimes.bsky.social,0.6
thenewworldmag.bsky.social,0.6
theipaper.com,0.6
newseye.bsky.social,0.6
lesechosfr.bsky.social,0.6
courrierinter.bsky.social,0.6
